gate	resultado	notas
merge_pr	PR #332 merge commit	PASS	1bf052bd5
pull_main	s2-fase-e-clean @ origin/main	PASS	1bf052bd5
G-A3_typecheck	admin tsc --noEmit	PASS	npm@10.9.7
G-A5_smoke_3004	GET http://127.0.0.1:3004/	200
G-A5_smoke_3006	GET http://127.0.0.1:3006/	200 guest regressao T0.10
G-A5_health_admin	docker inspect rsv360-admin	healthy
tailwind_lock	tailwindcss + @tailwindcss/postcss	4.3.1
G-A6_api_p0	run-api-p0-round1.ps1	PASS	8/8
veredito	GO pos-merge	T0.16 piloto TW4 admin encerrado
piloto_guest_admin_tw4	GO	T0.15 + T0.16 concluidos
proximo_marco	turismo ou site-publico TW4	HITL separada
